T,X_1,Y_1,Vx_1,Vy_1,X_2,Y_2,Vx_2,Vy_2,X_3,Y_3,Vx_3,Vy_3,X_4,Y_4,Vx_4,Vy_4
0.0,0.2812755284517217,0.3911043866193925,0.1116659839073646,-0.9130279153714431,0.1668581318889218,0.7732554504176893,0.4232192242172237,0.4850468655780047,0.6314179259524607,0.6399758779994107,-0.07860473920552158,0.038869712189607775,0.6616133277751693,0.181473203468128,0.7886215010853117,-0.5917728502973243
0.0,0.2823921882907954,0.38197410746567806,0.1116659839073646,-0.9130279153714431,0.17109032413109404,0.7781059190734694,0.4232192242172237,0.4850468655780047,0.6306318785604055,0.6403645751213067,-0.07860473920552158,0.038869712189607775,0.6694995427860224,0.17555547496515478,0.7886215010853117,-0.5917728502973243
0.0,0.28350884812986904,0.3728438283119636,0.1116659839073646,-0.9130279153714431,0.1753225163732663,0.7829563877292495,0.4232192242172237,0.4850468655780047,0.6298458311683502,0.6407532722432028,-0.07860473920552158,0.038869712189607775,0.6773857577968755,0.16963774646218155,0.7886215010853117,-0.5917728502973243
0.0,0.2846255079689427,0.36371354915824916,0.1116659839073646,-0.9130279153714431,0.17955470861543854,0.7878068563850296,0.4232192242172237,0.4850468655780047,0.629059783776295,0.6411419693650988,-0.07860473920552158,0.038869712189607775,0.6852719728077286,0.16372001795920832,0.7886215010853117,-0.5917728502973243
0.01,0.28574216780801637,0.3545832700045347,0.1116659839073646,-0.9130279153714431,0.1837869008576108,0.7926573250408097,0.4232192242172237,0.4850468655780047,0.6282737363842398,0.6415306664869949,-0.07860473920552158,0.038869712189607775,0.6931581878185816,0.1578022894562351,0.7886215010853117,-0.5917728502973243
0.02,0.28685882764709003,0.34545299085082026,0.1116659839073646,-0.9130279153714431,0.18801909309978304,0.7975077936965898,0.4232192242172237,0.4850468655780047,0.6274876889921845,0.6419193636088909,-0.07860473920552158,0.038869712189607775,0.7010444028294347,0.15188456095326186,0.7886215010853117,-0.5917728502973243
0.03,0.2879754874861637,0.3363227116971058,0.1116659839073646,-0.9130279153714431,0.1922512853419553,0.8023582623523698,0.4232192242172237,0.4850468655780047,0.6267016416001293,0.642308060730787,-0.07860473920552158,0.038869712189607775,0.7089306178402878,0.14596683245028863,0.7886215010853117,-0.5917728502973243
0.04,0.28909214732523736,0.32719243254339136,0.1116659839073646,-0.9130279153714431,0.19648347758412754,0.8072087310081499,0.4232192242172237,0.4850468655780047,0.6259155942080741,0.642696757852683,-0.07860473920552158,0.038869712189607775,0.7168168328511408,0.1400491039473154,0.7886215010853117,-0.5917728502973243
0.05,0.290208807164311,0.3180621533896769,0.1116659839073646,-0.9130279153714431,0.2007156698262998,0.81205919966393,0.4232192242172237,0.4850468655780047,0.6251295468160188,0.643085454974579,-0.07860473920552158,0.038869712189607775,0.7247030478619939,0.13413137544434217,0.7886215010853117,-0.5917728502973243
0.06,0.2913254670033847,0.30893187423596247,0.1116659839073646,-0.9130279153714431,0.20494786206847204,0.8169096683197101,0.4232192242172237,0.4850468655780047,0.6243434994239636,0.6434741520964751,-0.07860473920552158,0.038869712189607775,0.732589262872847,0.12821364694136894,0.7886215010853117,-0.5917728502973243
